id;id_fuente_referencial;fr_nombre;fr_fecha_creacion;fr_fecha_modificacion;id_autoevalucion_xproceso;id_autoevalucion;id_mes;id_usuarios_xevaluacion;id_estado;id_verificador;id_fuente_referencia_x_item
1;69754;Awesome Concrete Fish;2020-11-27;2020-11-27;62699;50009;84138;75645;54512;30748;87169
2;12252;white Handcrafted Concrete Soap Fresh;2020-11-27;2020-11-27;10314;14328;56011;95040;86079;68731;11355
3;21006;UAE Dirham collaboration Organized;2020-11-27;2020-11-27;57913;93919;36229;90939;13819;14256;18020
4;15481;Assurance Administrator RSS;2020-11-27;2020-11-27;62723;4978;86048;98532;55292;15322;56914
5;83215;navigate Vermont bypassing;2020-11-27;2020-11-27;89098;6900;46647;38448;73165;49004;59032
6;86922;functionalities Gorgeous task-force;2020-11-27;2020-11-27;81601;54500;39749;56393;6052;8668;37587
7;40652;Gorgeous;2020-11-27;2020-11-27;15611;22632;86023;50517;30658;71292;5712
8;92010;models niches alarm;2020-11-27;2020-11-27;8628;65050;95626;28939;81670;45740;90282
9;2258;user-centric Analyst;2020-11-27;2020-11-27;12160;68181;45886;75148;77328;25939;95070
10;7624;Engineer payment Fundamental;2020-11-27;2020-11-27;50609;71200;85168;90207;35980;62399;69682
